InstanceID,N,K,B,OptimalMakespan,LS_MaxGroupSum,LS_Time(us),LPT_MaxGroupSum,LPT_Time(us),MULTIFIT_MaxGroupSum,MULTIFIT_Time(us)
533,37,3,20,18714,29542,22,18714,28,18714,0
534,29,3,20,2624,2726,18,2624,23,2624,0
535,24,3,20,14597,17555,16,14603,20,14603,0
536,18,3,20,542,850,13,542,15,542,0
537,29,3,20,33856,50513,18,33856,23,33856,0
538,32,3,20,19380,24170,20,19380,25,19380,0
539,27,3,20,4004,4387,17,4219,22,4219,0
540,25,3,20,7249,7912,17,7250,20,7250,0
541,20,4,8,28,35,16,28,17,28,0
542,22,4,8,22,35,16,22,18,22,0
543,10,4,8,29,35,9,29,11,29,0
544,15,4,8,20,22,12,20,13,20,0
545,13,4,8,27,36,11,27,12,27,0
546,13,4,8,20,27,11,20,11,20,0
547,14,4,8,28,31,11,28,13,28,0
548,15,4,8,20,26,12,20,13,20,0
549,15,4,8,28,31,12,29,14,29,0
550,14,4,8,22,30,11,23,13,23,0
551,10,4,8,22,35,8,22,10,22,0
552,13,4,8,24,30,10,25,12,25,0
553,20,4,8,27,42,14,27,17,27,0
554,19,4,8,28,38,15,28,17,28,0
555,17,4,8,26,30,14,26,47,26,0
556,9,4,8,22,33,8,22,9,22,0
557,20,4,8,23,29,15,23,17,23,0
558,15,4,8,24,33,12,24,12,24,0
559,13,4,8,23,29,10,23,12,23,0
560,18,4,8,22,23,13,22,15,22,0
561,19,4,8,25,37,14,25,16,25,0
